GEO_ID,NAME,B19013_001E,B19013_001M
id,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
0500000US48387,"Red River County, Texas",37955,3903
0500000US36009,"Cattaraugus County, New York",47240,1386
0500000US48003,"Andrews County, Texas",74233,4834
0500000US18109,"Morgan County, Indiana",62462,1888
0500000US37137,"Pamlico County, North Carolina",44947,3393
0500000US05103,"Ouachita County, Arkansas",34887,2524
0500000US05119,"Pulaski County, Arkansas",50093,1057
0500000US13113,"Fayette County, Georgia",87272,3332
0500000US29199,"Scotland County, Missouri",42965,5011
0500000US05127,"Scott County, Arkansas",35509,4950
0500000US28127,"Simpson County, Mississippi",37946,2940
0500000US29057,"Dade County, Missouri",39979,3243
0500000US21011,"Bath County, Kentucky",40837,3808
0500000US55075,"Marinette County, Wisconsin",47497,1760
0500000US29165,"Platte County, Missouri",76912,2320
0500000US29159,"Pettis County, Missouri",44382,2231
0500000US51111,"Lunenburg County, Virginia",41868,4197
0500000US41029,"Jackson County, Oregon",50851,984
0500000US17077,"Jackson County, Illinois",37802,2222
0500000US51570,"Colonial Heights city, Virginia",53716,5085
0500000US39079,"Jackson County, Ohio",45340,2441
0500000US45081,"Saluda County, South Carolina",44486,2731
0500000US19049,"Dallas County, Iowa",84790,2628
0500000US31023,"Butler County, Nebraska",55562,5206
0500000US53049,"Pacific County, Washington",44846,2441
0500000US31087,"Hitchcock County, Nebraska",42902,4193
0500000US45077,"Pickens County, South Carolina",47024,1429
0500000US48185,"Grimes County, Texas",50298,4135
0500000US13069,"Coffee County, Georgia",38266,2489
0500000US47179,"Washington County, Tennessee",46752,1903
0500000US13179,"Liberty County, Georgia",45959,1865
0500000US48043,"Brewster County, Texas",43894,2762
0500000US72137,"Toa Baja Municipio, Puerto Rico",24899,1165
0500000US42043,"Dauphin County, Pennsylvania",58916,1437
0500000US31105,"Kimball County, Nebraska",43856,4478
0500000US13251,"Screven County, Georgia",37588,2973
0500000US08097,"Pitkin County, Colorado",71244,5939
0500000US18123,"Perry County, Indiana",51064,2558
0500000US72087,"Lo�za Municipio, Puerto Rico",17402,1188
0500000US51163,"Rockbridge County, Virginia",54805,4086
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",54191,2561
0500000US47047,"Fayette County, Tennessee",59017,2723
0500000US39015,"Brown County, Ohio",52356,2501
0500000US26005,"Allegan County, Michigan",59883,1786
0500000US20057,"Ford County, Kansas",53072,2421
0500000US30109,"Wibaux County, Montana",50202,7744
0500000US17171,"Scott County, Illinois",53973,4910
0500000US48141,"El Paso County, Texas",44597,745
0500000US40045,"Ellis County, Oklahoma",52705,3259
0500000US26121,"Muskegon County, Michigan",48329,978
0500000US13039,"Camden County, Georgia",56397,2166
0500000US28145,"Union County, Mississippi",41287,2751
0500000US19033,"Cerro Gordo County, Iowa",52902,1573
0500000US41045,"Malheur County, Oregon",42478,3046
0500000US48317,"Martin County, Texas",69722,11169
0500000US22065,"Madison Parish, Louisiana",27810,2807
0500000US05031,"Craighead County, Arkansas",45868,1769
0500000US45053,"Jasper County, South Carolina",41930,3475
0500000US13259,"Stewart County, Georgia",25385,6906
0500000US19041,"Clay County, Iowa",47874,4268
0500000US19117,"Lucas County, Iowa",50206,3799
0500000US28055,"Issaquena County, Mississippi",25776,8356
0500000US48009,"Archer County, Texas",64476,4552
0500000US13265,"Taliaferro County, Georgia",31797,4707
0500000US06031,"Kings County, California",53865,2352
0500000US38021,"Dickey County, North Dakota",60918,5496
0500000US38053,"McKenzie County, North Dakota",80732,5175
0500000US13083,"Dade County, Georgia",44471,4469
0500000US13255,"Spalding County, Georgia",42671,2135
0500000US17109,"McDonough County, Illinois",43724,3039
0500000US08073,"Lincoln County, Colorado",49423,6527
0500000US26113,"Missaukee County, Michigan",44766,1878
0500000US39175,"Wyandot County, Ohio",52940,3242
0500000US01033,"Colbert County, Alabama",47558,2607
0500000US40041,"Delaware County, Oklahoma",39742,1445
0500000US26069,"Iosco County, Michigan",42102,1302
0500000US16063,"Lincoln County, Idaho",48222,2457
0500000US39005,"Ashland County, Ohio",52730,2111
0500000US29081,"Harrison County, Missouri",40168,3374
0500000US36053,"Madison County, New York",60228,1612
0500000US72025,"Caguas Municipio, Puerto Rico",25006,1128
0500000US22031,"De Soto Parish, Louisiana",44230,3092
0500000US39119,"Muskingum County, Ohio",45276,1771
0500000US29101,"Johnson County, Missouri",53056,2319
0500000US48455,"Trinity County, Texas",40407,3033
